Historical NAV for a period From 01-Jan-2018 to 08-Jan-2022,,,
UTI Mutual Fund,,,
UTI - Nifty Next 50 Index Fund,,,
UTI Nifty Next 50 Index Fund - Direct Plan - Growth Option,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
9.0377,,,26-Oct-2018
9.2488,,,29-Oct-2018
9.2974,,,30-Oct-2018
9.4599,,,31-Oct-2018
9.5175,,,01-Nov-2018
9.6599,,,02-Nov-2018
9.6923,,,05-Nov-2018
9.6372,,,06-Nov-2018
9.7452,,,09-Nov-2018
9.6349,,,12-Nov-2018
9.6618,,,13-Nov-2018
9.6719,,,14-Nov-2018
9.7154,,,15-Nov-2018
9.7525,,,16-Nov-2018
9.8053,,,19-Nov-2018
9.6836,,,20-Nov-2018
9.7587,,,21-Nov-2018
9.692,,,22-Nov-2018
9.7271,,,26-Nov-2018
9.7173,,,27-Nov-2018
9.692,,,28-Nov-2018
9.7636,,,29-Nov-2018
9.8358,,,30-Nov-2018
9.8668,,,03-Dec-2018
9.8375,,,04-Dec-2018
9.7011,,,05-Dec-2018
9.5527,,,06-Dec-2018
9.5942,,,07-Dec-2018
9.4192,,,10-Dec-2018
9.5664,,,11-Dec-2018
9.7773,,,12-Dec-2018
9.876,,,13-Dec-2018
9.909,,,14-Dec-2018
9.987,,,17-Dec-2018
10.035,,,18-Dec-2018
10.1749,,,19-Dec-2018
10.1184,,,20-Dec-2018
9.9804,,,21-Dec-2018
9.8394,,,24-Dec-2018
9.8766,,,26-Dec-2018
9.8968,,,27-Dec-2018
9.9966,,,28-Dec-2018
10.0371,,,31-Dec-2018
10.0132,,,01-Jan-2019
9.9297,,,02-Jan-2019
9.8578,,,03-Jan-2019
9.8736,,,04-Jan-2019
9.8688,,,07-Jan-2019
9.8625,,,08-Jan-2019
9.8604,,,09-Jan-2019
9.9011,,,10-Jan-2019
9.8688,,,11-Jan-2019
9.8002,,,14-Jan-2019
9.8702,,,15-Jan-2019
9.8754,,,16-Jan-2019
9.8693,,,17-Jan-2019
9.7626,,,18-Jan-2019
9.7311,,,21-Jan-2019
9.7694,,,22-Jan-2019
9.7101,,,23-Jan-2019
9.6988,,,24-Jan-2019
9.5693,,,25-Jan-2019
9.394,,,28-Jan-2019
9.4038,,,29-Jan-2019
9.4028,,,30-Jan-2019
9.4593,,,31-Jan-2019
9.5559,,,01-Feb-2019
9.4706,,,04-Feb-2019
9.4042,,,05-Feb-2019
9.4899,,,06-Feb-2019
9.602,,,07-Feb-2019
9.453,,,08-Feb-2019
9.3473,,,11-Feb-2019
9.2993,,,12-Feb-2019
9.2042,,,13-Feb-2019
9.2464,,,14-Feb-2019
9.0895,,,15-Feb-2019
9.0192,,,18-Feb-2019
9.0338,,,19-Feb-2019
9.1546,,,20-Feb-2019
9.2325,,,21-Feb-2019
9.3035,,,22-Feb-2019
9.3446,,,25-Feb-2019
9.3399,,,26-Feb-2019
9.3811,,,27-Feb-2019
9.4533,,,28-Feb-2019
9.5719,,,01-Mar-2019
9.7516,,,05-Mar-2019
9.8268,,,06-Mar-2019
9.7808,,,07-Mar-2019
9.791,,,08-Mar-2019
