Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
ICICI Prudential Mutual Fund,,,
ICICI Prudential Bluechip Fund,,,
ICICI Prudential Bluechip Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
18.66,18.47,18.66,02-Jan-2013
18.73,18.54,18.73,03-Jan-2013
18.76,18.57,18.76,04-Jan-2013
18.72,18.53,18.72,07-Jan-2013
18.76,18.57,18.76,08-Jan-2013
18.76,18.57,18.76,09-Jan-2013
18.77,18.58,18.77,10-Jan-2013
18.69,18.5,18.69,11-Jan-2013
18.84,18.65,18.84,14-Jan-2013
18.94,18.75,18.94,15-Jan-2013
18.78,18.59,18.78,16-Jan-2013
18.94,18.75,18.94,17-Jan-2013
18.97,18.78,18.97,18-Jan-2013
19.08,18.89,19.08,21-Jan-2013
18.93,18.74,18.93,22-Jan-2013
18.91,18.72,18.91,23-Jan-2013
18.8,18.61,18.8,24-Jan-2013
18.99,18.8,18.99,25-Jan-2013
19.02,18.83,19.02,28-Jan-2013
18.89,18.7,18.89,29-Jan-2013
18.89,18.7,18.89,30-Jan-2013
18.78,18.59,18.78,31-Jan-2013
18.74,18.55,18.74,01-Feb-2013
18.67,18.48,18.67,04-Feb-2013
18.55,18.36,18.55,05-Feb-2013
18.57,18.38,18.57,06-Feb-2013
18.49,18.31,18.49,07-Feb-2013
18.39,18.21,18.39,08-Feb-2013
18.38,18.2,18.38,11-Feb-2013
18.48,18.3,18.48,12-Feb-2013
18.47,18.29,18.47,13-Feb-2013
18.4,18.22,18.4,14-Feb-2013
18.35,18.17,18.35,15-Feb-2013
18.36,18.18,18.36,18-Feb-2013
18.5,18.32,18.5,19-Feb-2013
18.51,18.32,18.51,20-Feb-2013
18.24,18.06,18.24,21-Feb-2013
18.26,18.08,18.26,22-Feb-2013
18.28,18.1,18.28,25-Feb-2013
18.07,17.89,18.07,26-Feb-2013
18.14,17.96,18.14,27-Feb-2013
17.87,17.69,17.87,28-Feb-2013
17.97,17.79,17.97,01-Mar-2013
17.92,17.74,17.92,04-Mar-2013
18.11,17.93,18.11,05-Mar-2013
18.24,18.06,18.24,06-Mar-2013
18.33,18.15,18.33,07-Mar-2013
18.56,18.37,18.56,08-Mar-2013
18.53,18.34,18.53,11-Mar-2013
18.45,18.27,18.45,12-Mar-2013
18.25,18.07,18.25,13-Mar-2013
18.42,18.24,18.42,14-Mar-2013
18.27,18.09,18.27,15-Mar-2013
18.16,17.98,18.16,18-Mar-2013
17.96,17.78,17.96,19-Mar-2013
17.76,17.58,17.76,20-Mar-2013
17.64,17.46,17.64,21-Mar-2013
17.59,17.41,17.59,22-Mar-2013
17.51,17.33,17.51,25-Mar-2013
17.49,17.32,17.49,26-Mar-2013
17.67,17.49,17.67,28-Mar-2013
17.72,17.54,17.72,01-Apr-2013
17.82,17.64,17.82,02-Apr-2013
17.58,17.4,17.58,03-Apr-2013
17.31,17.14,17.31,04-Apr-2013
17.29,17.12,17.29,05-Apr-2013
17.32,17.15,17.32,08-Apr-2013
17.15,16.98,17.15,09-Apr-2013
17.36,17.19,17.36,10-Apr-2013
17.46,17.29,17.46,11-Apr-2013
17.34,17.17,17.34,12-Apr-2013
17.41,17.24,17.41,15-Apr-2013
17.66,17.48,17.66,16-Apr-2013
17.72,17.54,17.72,17-Apr-2013
17.89,17.71,17.89,18-Apr-2013
18.06,17.88,18.06,22-Apr-2013
18.03,17.85,18.03,23-Apr-2013
18.24,18.06,18.24,25-Apr-2013
18.22,18.04,18.22,26-Apr-2013
18.35,18.17,18.35,29-Apr-2013
18.43,18.25,18.43,30-Apr-2013
18.57,18.38,18.57,02-May-2013
18.37,18.19,18.37,03-May-2013
18.47,18.29,18.47,06-May-2013
18.68,18.49,18.68,07-May-2013
18.72,18.53,18.72,08-May-2013
18.66,18.47,18.66,09-May-2013
18.87,18.68,18.87,10-May-2013
18.54,18.35,18.54,13-May-2013
18.61,18.42,18.61,14-May-2013
18.98,18.79,18.98,15-May-2013
19.08,18.89,19.08,16-May-2013
19.1,18.91,19.1,17-May-2013
19.02,18.83,19.02,20-May-2013
18.88,18.69,18.88,21-May-2013
18.84,18.65,18.84,22-May-2013
18.48,18.3,18.48,23-May-2013
18.57,18.38,18.57,24-May-2013
18.79,18.6,18.79,27-May-2013
18.87,18.68,18.87,28-May-2013
18.84,18.65,18.84,29-May-2013
18.92,18.73,18.92,30-May-2013
18.61,18.42,18.61,31-May-2013
18.48,18.3,18.48,03-Jun-2013
18.46,18.28,18.46,04-Jun-2013
18.47,18.29,18.47,05-Jun-2013
18.46,18.28,18.46,06-Jun-2013
18.38,18.2,18.38,07-Jun-2013
18.32,18.14,18.32,10-Jun-2013
18.1,17.92,18.1,11-Jun-2013
18.06,17.88,18.06,12-Jun-2013
17.86,17.68,17.86,13-Jun-2013
18.13,17.95,18.13,14-Jun-2013
18.22,18.04,18.22,17-Jun-2013
18.17,17.99,18.17,18-Jun-2013
18.23,18.05,18.23,19-Jun-2013
17.8,17.62,17.8,20-Jun-2013
17.81,17.63,17.81,21-Jun-2013
17.5,17.33,17.5,24-Jun-2013
17.49,17.32,17.49,25-Jun-2013
17.43,17.26,17.43,26-Jun-2013
17.67,17.49,17.67,27-Jun-2013
18.07,17.89,18.07,28-Jun-2013
18.19,18.01,18.19,01-Jul-2013
18.08,17.9,18.08,02-Jul-2013
17.81,17.63,17.81,03-Jul-2013
18.05,17.87,18.05,04-Jul-2013
18.12,17.94,18.12,05-Jul-2013
18,17.82,18,08-Jul-2013
18.14,17.96,18.14,09-Jul-2013
18.09,17.91,18.09,10-Jul-2013
18.36,18.18,18.36,11-Jul-2013
