Historical NAV for a period From 01-Jan-2013 to 31-Dec-2017,,,
Axis Mutual Fund,,,
Axis Bluechip Fund,,,
Axis Bluechip Fund - Direct Plan - Growth,,,
Net Asset Value,Repurchase Price,Sale Price,NAV date
12.71,12.33,12.71,29-Apr-2013
12.77,12.39,12.77,30-Apr-2013
12.9,12.51,12.9,02-May-2013
12.8,12.42,12.8,03-May-2013
12.84,12.45,12.84,06-May-2013
12.93,12.54,12.93,07-May-2013
13.02,12.63,13.02,08-May-2013
12.99,12.6,12.99,09-May-2013
13.07,12.68,13.07,10-May-2013
12.86,12.47,12.86,13-May-2013
12.89,12.5,12.89,14-May-2013
13.14,12.75,13.14,15-May-2013
13.14,12.75,13.14,16-May-2013
13.14,12.75,13.14,17-May-2013
13.08,12.69,13.08,20-May-2013
13.01,12.62,13.01,21-May-2013
13,12.61,13,22-May-2013
12.81,12.43,12.81,23-May-2013
12.82,12.44,12.82,24-May-2013
12.98,12.59,12.98,27-May-2013
13.09,12.7,13.09,28-May-2013
13.11,12.72,13.11,29-May-2013
13.16,12.77,13.16,30-May-2013
12.93,12.54,12.93,31-May-2013
12.84,12.45,12.84,03-Jun-2013
12.79,12.41,12.79,04-Jun-2013
12.8,12.42,12.8,05-Jun-2013
12.81,12.43,12.81,06-Jun-2013
12.76,12.38,12.76,07-Jun-2013
12.75,12.37,12.75,10-Jun-2013
12.58,12.2,12.58,11-Jun-2013
12.53,12.15,12.53,12-Jun-2013
12.42,12.05,12.42,13-Jun-2013
12.62,12.24,12.62,14-Jun-2013
12.68,12.3,12.68,17-Jun-2013
12.62,12.24,12.62,18-Jun-2013
12.64,12.26,12.64,19-Jun-2013
12.35,11.98,12.35,20-Jun-2013
12.42,12.05,12.42,21-Jun-2013
12.24,11.87,12.24,24-Jun-2013
12.25,11.88,12.25,25-Jun-2013
12.22,11.85,12.22,26-Jun-2013
12.38,12.01,12.38,27-Jun-2013
12.67,12.29,12.67,28-Jun-2013
12.77,12.39,12.77,01-Jul-2013
12.72,12.34,12.72,02-Jul-2013
12.56,12.18,12.56,03-Jul-2013
12.7,12.32,12.7,04-Jul-2013
12.76,12.38,12.76,05-Jul-2013
12.64,12.26,12.64,08-Jul-2013
12.72,12.34,12.72,09-Jul-2013
12.66,12.28,12.66,10-Jul-2013
12.85,12.46,12.85,11-Jul-2013
12.98,12.59,12.98,12-Jul-2013
13.01,12.62,13.01,15-Jul-2013
12.87,12.48,12.87,16-Jul-2013
12.88,12.49,12.88,17-Jul-2013
12.97,12.58,12.97,18-Jul-2013
12.93,12.54,12.93,19-Jul-2013
12.93,12.54,12.93,22-Jul-2013
13,12.61,13,23-Jul-2013
12.87,12.48,12.87,24-Jul-2013
12.76,12.38,12.76,25-Jul-2013
12.76,12.38,12.76,26-Jul-2013
12.64,12.26,12.64,29-Jul-2013
12.48,12.11,12.48,30-Jul-2013
12.43,12.06,12.43,31-Jul-2013
12.41,12.04,12.41,01-Aug-2013
12.35,11.98,12.35,02-Aug-2013
12.39,12.02,12.39,05-Aug-2013
12.1,11.74,12.1,06-Aug-2013
12.09,11.73,12.09,07-Aug-2013
12.19,11.82,12.19,08-Aug-2013
12.25,11.88,12.25,12-Aug-2013
12.42,12.05,12.42,13-Aug-2013
12.49,12.12,12.49,14-Aug-2013
12.09,11.73,12.09,16-Aug-2013
11.91,11.55,11.91,19-Aug-2013
11.89,11.53,11.89,20-Aug-2013
11.68,11.33,11.68,21-Aug-2013
11.84,11.48,11.84,22-Aug-2013
11.94,11.58,11.94,23-Aug-2013
11.99,11.63,11.99,26-Aug-2013
11.62,11.27,11.62,27-Aug-2013
11.59,11.24,11.59,28-Aug-2013
11.8,11.45,11.8,29-Aug-2013
11.91,11.55,11.91,30-Aug-2013
12.06,11.7,12.06,02-Sep-2013
11.72,11.37,11.72,03-Sep-2013
11.91,11.55,11.91,04-Sep-2013
12.18,11.81,12.18,05-Sep-2013
12.32,11.95,12.32,06-Sep-2013
12.68,12.3,12.68,10-Sep-2013
12.69,12.31,12.69,11-Sep-2013
12.59,12.21,12.59,12-Sep-2013
12.57,12.19,12.57,13-Sep-2013
12.58,12.2,12.58,16-Sep-2013
12.6,12.22,12.6,17-Sep-2013
12.69,12.31,12.69,18-Sep-2013
13.06,12.67,13.06,19-Sep-2013
12.89,12.5,12.89,20-Sep-2013
12.7,12.32,12.7,23-Sep-2013
12.71,12.33,12.71,24-Sep-2013
12.71,12.33,12.71,25-Sep-2013
12.75,12.37,12.75,26-Sep-2013
12.7,12.32,12.7,27-Sep-2013
12.54,12.16,12.54,30-Sep-2013
12.63,12.5,12.63,01-Oct-2013
12.83,12.7,12.83,03-Oct-2013
12.84,12.71,12.84,04-Oct-2013
12.84,12.71,12.84,07-Oct-2013
12.87,12.74,12.87,08-Oct-2013
13.03,12.9,13.03,09-Oct-2013
13.06,12.93,13.06,10-Oct-2013
13.18,13.05,13.18,11-Oct-2013
13.23,13.1,13.23,14-Oct-2013
13.19,13.06,13.19,15-Oct-2013
13.09,12.96,13.09,17-Oct-2013
13.32,13.19,13.32,18-Oct-2013
13.33,13.2,13.33,21-Oct-2013
13.32,13.19,13.32,22-Oct-2013
13.28,13.15,13.28,23-Oct-2013
13.3,13.17,13.3,24-Oct-2013
13.27,13.14,13.27,25-Oct-2013
13.19,13.06,13.19,28-Oct-2013
13.46,13.33,13.46,29-Oct-2013
13.52,13.38,13.52,30-Oct-2013
13.62,13.48,13.62,31-Oct-2013
13.66,13.52,13.66,01-Nov-2013
13.56,13.42,13.56,05-Nov-2013
13.52,13.38,13.52,06-Nov-2013
13.46,13.33,13.46,07-Nov-2013
13.37,13.24,13.37,08-Nov-2013
13.29,13.16,13.29,11-Nov-2013
13.19,13.06,13.19,12-Nov-2013
13.11,12.98,13.11,13-Nov-2013
13.22,13.09,13.22,14-Nov-2013
13.46,13.33,13.46,18-Nov-2013
13.49,13.36,13.49,19-Nov-2013
13.36,13.23,13.36,20-Nov-2013
13.12,12.99,13.12,21-Nov-2013
13.12,12.99,13.12,22-Nov-2013
13.34,13.21,13.34,25-Nov-2013
13.23,13.1,13.23,26-Nov-2013
13.23,13.1,13.23,27-Nov-2013
13.28,13.15,13.28,28-Nov-2013
13.45,13.32,13.45,29-Nov-2013
13.54,13.4,13.54,02-Dec-2013
13.52,13.38,13.52,03-Dec-2013
13.43,13.3,13.43,04-Dec-2013
13.57,13.43,13.57,05-Dec-2013
13.59,13.45,13.59,06-Dec-2013
13.79,13.65,13.79,09-Dec-2013
13.69,13.55,13.69,10-Dec-2013
13.65,13.51,13.65,11-Dec-2013
13.55,13.41,13.55,12-Dec-2013
13.43,13.3,13.43,13-Dec-2013
13.42,13.29,13.42,16-Dec-2013
13.42,13.29,13.42,17-Dec-2013
13.56,13.42,13.56,18-Dec-2013
13.53,13.39,13.53,19-Dec-2013
13.72,13.58,13.72,20-Dec-2013
13.71,13.57,13.71,23-Dec-2013
13.72,13.58,13.72,24-Dec-2013
13.74,13.6,13.74,26-Dec-2013
13.84,13.7,13.84,27-Dec-2013
13.8,13.66,13.8,30-Dec-2013
13.85,13.71,13.85,31-Dec-2013
13.86,13.72,13.86,01-Jan-2014
13.68,13.54,13.68,02-Jan-2014
13.68,13.54,13.68,03-Jan-2014
13.67,13.53,13.67,06-Jan-2014
13.62,13.48,13.62,07-Jan-2014
13.6,13.46,13.6,08-Jan-2014
13.58,13.44,13.58,09-Jan-2014
13.6,13.46,13.6,10-Jan-2014
13.8,13.66,13.8,13-Jan-2014
13.71,13.57,13.71,14-Jan-2014
13.82,13.68,13.82,15-Jan-2014
13.76,13.62,13.76,16-Jan-2014
13.58,13.44,13.58,17-Jan-2014
13.7,13.56,13.7,20-Jan-2014
13.69,13.55,13.69,21-Jan-2014
13.76,13.62,13.76,22-Jan-2014
13.77,13.63,13.77,23-Jan-2014
13.62,13.48,13.62,24-Jan-2014
13.35,13.22,13.35,27-Jan-2014
13.3,13.17,13.3,28-Jan-2014
13.33,13.2,13.33,29-Jan-2014
13.21,13.08,13.21,30-Jan-2014
13.29,13.16,13.29,31-Jan-2014
13.16,13.03,13.16,03-Feb-2014
13.15,13.02,13.15,04-Feb-2014
13.17,13.04,13.17,05-Feb-2014
13.17,13.04,13.17,06-Feb-2014
13.22,13.09,13.22,07-Feb-2014
13.18,13.05,13.18,10-Feb-2014
13.2,13.07,13.2,11-Feb-2014
13.25,13.12,13.25,12-Feb-2014
13.1,12.97,13.1,13-Feb-2014
13.18,13.05,13.18,14-Feb-2014
13.2,13.07,13.2,17-Feb-2014
13.3,13.17,13.3,18-Feb-2014
13.35,13.22,13.35,19-Feb-2014
13.24,13.11,13.24,20-Feb-2014
13.37,13.24,13.37,21-Feb-2014
13.39,13.26,13.39,24-Feb-2014
13.41,13.28,13.41,25-Feb-2014
13.49,13.36,13.49,26-Feb-2014
13.56,13.42,13.56,28-Feb-2014
13.51,13.37,13.51,03-Mar-2014
13.63,13.49,13.63,04-Mar-2014
13.74,13.6,13.74,05-Mar-2014
13.86,13.72,13.86,06-Mar-2014
14.1,13.96,14.1,07-Mar-2014
14.17,14.03,14.17,10-Mar-2014
14.13,13.99,14.13,11-Mar-2014
14.13,13.99,14.13,12-Mar-2014
14.06,13.92,14.06,13-Mar-2014
14.06,13.92,14.06,14-Mar-2014
14.13,13.99,14.13,18-Mar-2014
14.1,13.96,14.1,19-Mar-2014
14.04,13.9,14.04,20-Mar-2014
14.09,13.95,14.09,21-Mar-2014
14.28,14.14,14.28,24-Mar-2014
14.31,14.17,14.31,25-Mar-2014
14.35,14.21,14.35,26-Mar-2014
14.45,14.31,14.45,27-Mar-2014
14.62,14.47,14.62,28-Mar-2014
14.69,14.54,14.69,31-Mar-2014
14.66,14.51,14.66,01-Apr-2014
14.79,14.64,14.79,02-Apr-2014
14.72,14.57,14.72,03-Apr-2014
14.66,14.51,14.66,04-Apr-2014
14.64,14.49,14.64,07-Apr-2014
14.85,14.7,14.85,09-Apr-2014
14.91,14.76,14.91,10-Apr-2014
14.87,14.72,14.87,11-Apr-2014
14.78,14.63,14.78,15-Apr-2014
14.66,14.51,14.66,16-Apr-2014
14.85,14.7,14.85,17-Apr-2014
14.96,14.81,14.96,21-Apr-2014
14.95,14.8,14.95,22-Apr-2014
15.03,14.88,15.03,23-Apr-2014
14.92,14.77,14.92,25-Apr-2014
14.93,14.78,14.93,28-Apr-2014
14.81,14.66,14.81,29-Apr-2014
14.75,14.6,14.75,30-Apr-2014
14.74,14.59,14.74,02-May-2014
14.74,14.59,14.74,05-May-2014
14.78,14.63,14.78,06-May-2014
14.71,14.56,14.71,07-May-2014
14.74,14.59,14.74,08-May-2014
15.16,15.01,15.16,09-May-2014
15.51,15.35,15.51,12-May-2014
15.68,15.52,15.68,13-May-2014
15.76,15.6,15.76,14-May-2014
15.74,15.58,15.74,15-May-2014
16.03,15.87,16.03,16-May-2014
16.39,16.23,16.39,19-May-2014
16.37,16.21,16.37,20-May-2014
16.36,16.2,16.36,21-May-2014
16.49,16.33,16.49,22-May-2014
16.77,16.6,16.77,23-May-2014
16.64,16.47,16.64,26-May-2014
16.52,16.35,16.52,27-May-2014
16.52,16.35,16.52,28-May-2014
16.33,16.17,16.33,29-May-2014
16.28,16.12,16.28,30-May-2014
16.69,16.52,16.69,02-Jun-2014
16.76,16.59,16.76,03-Jun-2014
16.81,16.64,16.81,04-Jun-2014
16.98,16.81,16.98,05-Jun-2014
17.25,17.08,17.25,06-Jun-2014
17.35,17.18,17.35,09-Jun-2014
17.3,17.13,17.3,10-Jun-2014
17.3,17.13,17.3,11-Jun-2014
17.33,17.16,17.33,12-Jun-2014
16.97,16.8,16.97,13-Jun-2014
16.96,16.79,16.96,16-Jun-2014
17.25,17.08,17.25,17-Jun-2014
17.14,16.97,17.14,18-Jun-2014
17.04,16.87,17.04,19-Jun-2014
16.97,16.8,16.97,20-Jun-2014
17,16.83,17,23-Jun-2014
17.23,17.06,17.23,24-Jun-2014
17.18,17.01,17.18,25-Jun-2014
17.06,16.89,17.06,26-Jun-2014
17.14,16.97,17.14,27-Jun-2014
17.42,17.25,17.42,30-Jun-2014
17.51,17.33,17.51,01-Jul-2014
17.65,17.47,17.65,02-Jul-2014
17.61,17.43,17.61,03-Jul-2014
17.69,17.51,17.69,04-Jul-2014
17.72,17.54,17.72,07-Jul-2014
17.21,17.04,17.21,08-Jul-2014
17.1,16.93,17.1,09-Jul-2014
17.09,16.92,17.09,10-Jul-2014
16.76,16.59,16.76,11-Jul-2014
16.71,16.54,16.71,14-Jul-2014
17.01,16.84,17.01,15-Jul-2014
17.28,17.11,17.28,16-Jul-2014
17.36,17.19,17.36,17-Jul-2014
17.32,17.15,17.32,18-Jul-2014
17.28,17.11,17.28,21-Jul-2014
17.33,17.16,17.33,22-Jul-2014
17.42,17.25,17.42,23-Jul-2014
17.49,17.32,17.49,24-Jul-2014
17.28,17.11,17.28,25-Jul-2014
17.18,17.01,17.18,28-Jul-2014
17.26,17.09,17.26,30-Jul-2014
17.18,17.01,17.18,31-Jul-2014
17.03,16.86,17.03,01-Aug-2014
17.21,17.04,17.21,04-Aug-2014
17.29,17.12,17.29,05-Aug-2014
17.15,16.98,17.15,06-Aug-2014
17.09,16.92,17.09,07-Aug-2014
16.85,16.68,16.85,08-Aug-2014
16.95,16.78,16.95,11-Aug-2014
17.09,16.92,17.09,12-Aug-2014
16.96,16.79,16.96,13-Aug-2014
17.11,16.94,17.11,14-Aug-2014
17.41,17.24,17.41,18-Aug-2014
17.54,17.36,17.54,19-Aug-2014
17.56,17.38,17.56,20-Aug-2014
17.7,17.52,17.7,21-Aug-2014
17.8,17.62,17.8,22-Aug-2014
17.72,17.54,17.72,25-Aug-2014
17.71,17.53,17.71,26-Aug-2014
17.81,17.63,17.81,27-Aug-2014
17.8,17.62,17.8,28-Aug-2014
18.06,17.88,18.06,01-Sep-2014
18.15,17.97,18.15,02-Sep-2014
18.25,18.07,18.25,03-Sep-2014
18.16,17.98,18.16,04-Sep-2014
18.2,18.02,18.2,05-Sep-2014
18.42,18.24,18.42,08-Sep-2014
18.38,18.2,18.38,09-Sep-2014
18.34,18.16,18.34,10-Sep-2014
18.44,18.26,18.44,11-Sep-2014
18.57,18.38,18.57,12-Sep-2014
18.55,18.36,18.55,15-Sep-2014
18.17,17.99,18.17,16-Sep-2014
18.25,18.07,18.25,17-Sep-2014
18.58,18.39,18.58,18-Sep-2014
18.64,18.45,18.64,19-Sep-2014
18.63,18.44,18.63,22-Sep-2014
18.31,18.13,18.31,23-Sep-2014
18.2,18.02,18.2,24-Sep-2014
17.93,17.75,17.93,25-Sep-2014
18.08,17.9,18.08,26-Sep-2014
18.14,17.96,18.14,29-Sep-2014
18.15,17.97,18.15,30-Sep-2014
18.06,17.88,18.06,01-Oct-2014
17.84,17.66,17.84,07-Oct-2014
17.81,17.63,17.81,08-Oct-2014
18.15,17.97,18.15,09-Oct-2014
17.92,17.74,17.92,10-Oct-2014
18.01,17.83,18.01,13-Oct-2014
17.98,17.8,17.98,14-Oct-2014
17.75,17.57,17.75,16-Oct-2014
17.86,17.68,17.86,17-Oct-2014
18.07,17.89,18.07,20-Oct-2014
18.21,18.03,18.21,21-Oct-2014
18.38,18.2,18.38,22-Oct-2014
18.34,18.16,18.34,27-Oct-2014
18.44,18.26,18.44,28-Oct-2014
18.57,18.38,18.57,29-Oct-2014
18.67,18.48,18.67,30-Oct-2014
19,18.81,19,31-Oct-2014
19.06,18.87,19.06,03-Nov-2014
19.17,18.98,19.17,05-Nov-2014
19.24,19.05,19.24,07-Nov-2014
19.24,19.05,19.24,10-Nov-2014
19.3,19.11,19.3,11-Nov-2014
19.33,19.14,19.33,12-Nov-2014
19.31,19.12,19.31,13-Nov-2014
