"Date","Open","High","Low","Close"
"24 Mar 2021","-","-","-","13879.40"
"23 Mar 2021","-","-","-","14023.17"
"22 Mar 2021","-","-","-","13969.38"
"19 Mar 2021","-","-","-","13851.24"
"18 Mar 2021","-","-","-","13842.94"
"17 Mar 2021","-","-","-","14078.85"
"16 Mar 2021","-","-","-","14272.28"
"15 Mar 2021","-","-","-","14204.76"
"12 Mar 2021","-","-","-","14278.94"
"10 Mar 2021","-","-","-","14290.04"
"09 Mar 2021","-","-","-","14191.32"
"08 Mar 2021","-","-","-","14218.94"
"05 Mar 2021","-","-","-","14186.51"
"04 Mar 2021","-","-","-","14391.02"
"03 Mar 2021","-","-","-","14317.71"
"02 Mar 2021","-","-","-","14235.25"
"01 Mar 2021","-","-","-","13959.16"
"26 Feb 2021","-","-","-","13789.27"
"25 Feb 2021","-","-","-","13899.81"
"24 Feb 2021","-","-","-","13765.04"
"23 Feb 2021","-","-","-","13721.67"
"22 Feb 2021","-","-","-","13616.50"
"19 Feb 2021","-","-","-","13765.39"
"18 Feb 2021","-","-","-","13895.60"
"17 Feb 2021","-","-","-","13819.29"
"16 Feb 2021","-","-","-","13868.95"
"15 Feb 2021","-","-","-","13906.97"
"12 Feb 2021","-","-","-","13869.89"
"11 Feb 2021","-","-","-","13906.42"
"10 Feb 2021","-","-","-","13884.41"
"09 Feb 2021","-","-","-","13763.41"
"08 Feb 2021","-","-","-","13846.03"
"05 Feb 2021","-","-","-","13646.73"
"04 Feb 2021","-","-","-","13763.83"
"03 Feb 2021","-","-","-","13571.64"
"02 Feb 2021","-","-","-","13366.70"
"01 Feb 2021","-","-","-","13130.64"
"29 Jan 2021","-","-","-","12920.95"
"28 Jan 2021","-","-","-","13009.88"
"27 Jan 2021","-","-","-","13051.17"
"25 Jan 2021","-","-","-","13255.68"
"22 Jan 2021","-","-","-","13358.67"
"21 Jan 2021","-","-","-","13463.79"
"20 Jan 2021","-","-","-","13501.94"
"19 Jan 2021","-","-","-","13423.01"
"18 Jan 2021","-","-","-","13256.30"
"15 Jan 2021","-","-","-","13432.56"
"14 Jan 2021","-","-","-","13621.64"
"13 Jan 2021","-","-","-","13563.42"
"12 Jan 2021","-","-","-","13629.70"
"11 Jan 2021","-","-","-","13651.58"
"08 Jan 2021","-","-","-","13662.20"
"07 Jan 2021","-","-","-","13500.97"
"06 Jan 2021","-","-","-","13426.57"
"05 Jan 2021","-","-","-","13382.61"
"04 Jan 2021","-","-","-","13308.09"
"01 Jan 2021","-","-","-","13122.27"
"31 Dec 2020","-","-","-","13039.35"
"30 Dec 2020","-","-","-","12988.10"
"29 Dec 2020","-","-","-","12937.71"
"28 Dec 2020","-","-","-","12963.59"
"24 Dec 2020","-","-","-","12829.45"
"23 Dec 2020","-","-","-","12773.57"
"22 Dec 2020","-","-","-","12494.63"
"21 Dec 2020","-","-","-","12404.17"
"18 Dec 2020","-","-","-","12833.28"
"17 Dec 2020","-","-","-","12798.29"
"16 Dec 2020","-","-","-","12775.07"
"15 Dec 2020","-","-","-","12640.74"
"14 Dec 2020","-","-","-","12632.53"
"11 Dec 2020","-","-","-","12531.42"
